"N_Protocol" "Status" "Species" "Branch_N" "Length" "N_Thorns" "N_Twigs" "Longest_thorn" "N_browsed_Twigs" "Branch_esc" "FlowerOrFruit" "BDI" "Thorn_density" "BrowRate" "Bite"
8 "Escaped" "Malus" 12 10 3 15 3.1 7 "no" 0 1.5 0.3 0.7 1
8 "Escaped" "Malus" 1 10 0 1 NA 0 "yes" 0 0.1 0 0 0
8 "Escaped" "Malus" 2 10 0 1 NA 1 "yes" 0 0.1 0 0.1 1
8 "Escaped" "Malus" 3 10 0 2 NA 1 "yes" 0 0.2 0 0.1 1
8 "Escaped" "Malus" 4 10 0 1 NA 0 "yes" 0 0.1 0 0 0
8 "Escaped" "Malus" 5 10 0 1 NA 0 "yes" 0 0.1 0 0 0
8 "Escaped" "Malus" 6 10 0 1 NA 0 "yes" 0 0.1 0 0 0
8 "Escaped" "Malus" 7 10 0 6 NA 2 "yes" 0 0.6 0 0.2 1
8 "Escaped" "Malus" 8 10 0 1 NA 0 "yes" 0 0.1 0 0 0
8 "Escaped" "Malus" 9 10 3 9 2.1 0 "yes" 0 0.9 0.3 0 0
8 "Escaped" "Malus" 10 10 0 12 NA 2 "yes" 0 1.2 0 0.2 1
8 "Escaped" "Malus" 11 10 0 1 NA 0 "yes" 0 0.1 0 0 0
8 "Escaped" "Malus" 12 10 0 7 NA 1 "yes" 0 0.7 0 0.1 1
9 "Not escaped" "Malus" 1 10 4 22 2 9 "no" 1 2.2 0.4 0.9 1
9 "Not escaped" "Malus" 2 10 0 1 NA 0 "no" 1 0.1 0 0 0
9 "Not escaped" "Malus" 3 10 0 1 NA 1 "no" 1 0.1 0 0.1 1
9 "Not escaped" "Malus" 4 10 0 3 NA 1 "no" 1 0.3 0 0.1 1
9 "Not escaped" "Malus" 5 10 0 1 NA 1 "no" 1 0.1 0 0.1 1
9 "Not escaped" "Malus" 6 10 0 2 NA 2 "no" 1 0.2 0 0.2 1
9 "Not escaped" "Malus" 7 10 0 1 NA 0 "no" 1 0.1 0 0 0
9 "Not escaped" "Malus" 8 10 6 11 2.5 5 "no" 1 1.1 0.6 0.5 1
9 "Not escaped" "Malus" 9 10 2 1 2 0 "no" 1 0.1 0.2 0 0
9 "Not escaped" "Malus" 10 8 0 8 NA 4 "no" 1 1 0 0.5 1
9 "Not escaped" "Malus" 11 10 0 2 NA 1 "no" 1 0.2 0 0.1 1
9 "Not escaped" "Malus" 12 10 0 4 NA 1 "no" 1 0.4 0 0.1 1
10 "Not escaped" "Malus" 1 10 0 2 NA 1 "no" 0 0.2 0 0.1 1
10 "Not escaped" "Malus" 2 10 0 9 NA 2 "no" 0 0.9 0 0.2 1
10 "Not escaped" "Malus" 3 9 0 1 NA 0 "no" 0 0.111111111111111 0 0 0
10 "Not escaped" "Malus" 4 10 0 6 NA 1 "no" 0 0.6 0 0.1 1
10 "Not escaped" "Malus" 5 9 0 4 NA 0 "no" 0 0.444444444444444 0 0 0
10 "Not escaped" "Malus" 6 8 2 6 2 4 "no" 0 0.75 0.25 0.5 1
10 "Not escaped" "Malus" 7 9 0 3 NA 2 "no" 0 0.333333333333333 0 0.222222222222222 1
10 "Not escaped" "Malus" 8 8 0 7 NA 4 "no" 0 0.875 0 0.5 1
10 "Not escaped" "Malus" 9 10 1 4 1.9 2 "no" 0 0.4 0.1 0.2 1
10 "Not escaped" "Malus" 10 9 0 5 NA 4 "no" 0 0.555555555555556 0 0.444444444444444 1
10 "Not escaped" "Malus" 11 10 0 9 NA 4 "no" 0 0.9 0 0.4 1
10 "Not escaped" "Malus" 12 10 0 1 NA 0 "no" 0 0.1 0 0 0
11 "Not escaped" "Prunus" 1 10 1 11 2.5 1 "no" 0 1.1 0.1 0.1 1
11 "Not escaped" "Prunus" 2 10 4 5 3 0 "no" 0 0.5 0.4 0 0
11 "Not escaped" "Prunus" 3 10 3 7 3.4 3 "no" 0 0.7 0.3 0.3 1
11 "Not escaped" "Prunus" 4 8 4 7 2.2 1 "no" 0 0.875 0.5 0.125 1
11 "Not escaped" "Prunus" 5 10 1 3 5 1 "no" 0 0.3 0.1 0.1 1
11 "Not escaped" "Prunus" 6 10 1 5 2.6 1 "no" 0 0.5 0.1 0.1 1
11 "Not escaped" "Prunus" 7 10 3 5 4 0 "no" 0 0.5 0.3 0 0
11 "Not escaped" "Prunus" 8 10 4 4 2.5 1 "no" 0 0.4 0.4 0.1 1
11 "Not escaped" "Prunus" 9 10 1 3 1 0 "no" 0 0.3 0.1 0 0
11 "Not escaped" "Prunus" 10 10 0 1 NA 1 "no" 0 0.1 0 0.1 1
11 "Not escaped" "Prunus" 11 10 3 7 1.5 1 "no" 0 0.7 0.3 0.1 1
11 "Not escaped" "Prunus" 12 10 0 7 NA 2 "no" 0 0.7 0 0.2 1
12 "Escaped" "Malus" 1 10 0 10 NA 7 "no" 0 1 0 0.7 1
12 "Escaped" "Malus" 2 8 0 10 NA 4 "no" 0 1.25 0 0.5 1
12 "Escaped" "Malus" 3 10 1 9 1 5 "no" 0 0.9 0.1 0.5 1
12 "Escaped" "Malus" 4 10 1 10 1.5 2 "no" 0 1 0.1 0.2 1
12 "Escaped" "Malus" 5 10 0 1 NA 0 "no" 0 0.1 0 0 0
12 "Escaped" "Malus" 6 10 0 4 NA 1 "no" 0 0.4 0 0.1 1
12 "Escaped" "Malus" 7 10 0 3 NA 0 "no" 0 0.3 0 0 0
12 "Escaped" "Malus" 8 10 0 9 NA 6 "no" 0 0.9 0 0.6 1
12 "Escaped" "Malus" 9 10 1 4 2 3 "no" 0 0.4 0.1 0.3 1
12 "Escaped" "Malus" 10 9 0 7 NA 7 "no" 0 0.777777777777778 0 0.777777777777778 1
12 "Escaped" "Malus" 11 10 1 11 1.7 1 "no" 0 1.1 0.1 0.1 1
12 "Escaped" "Malus" 12 8 0 1 NA 1 "no" 0 0.125 0 0.125 1
12 "Escaped" "Malus" 1 10 0 1 NA 1 "yes" 0 0.1 0 0.1 1
12 "Escaped" "Malus" 2 10 0 7 NA 0 "yes" 0 0.7 0 0 0
12 "Escaped" "Malus" 3 9 0 1 NA 0 "yes" 0 0.111111111111111 0 0 0
12 "Escaped" "Malus" 4 10 0 5 NA 1 "yes" 0 0.5 0 0.1 1
12 "Escaped" "Malus" 5 10 0 4 NA 1 "yes" 0 0.4 0 0.1 1
12 "Escaped" "Malus" 6 10 0 1 NA 0 "yes" 0 0.1 0 0 0
12 "Escaped" "Malus" 7 10 0 1 NA 0 "yes" 0 0.1 0 0 0
12 "Escaped" "Malus" 8 10 0 3 NA 0 "yes" 0 0.3 0 0 0
12 "Escaped" "Malus" 10 10 0 1 NA 0 "yes" 0 0.1 0 0 0
12 "Escaped" "Malus" 11 9 0 1 NA 0 "yes" 0 0.111111111111111 0 0 0
12 "Escaped" "Malus" 12 10 0 2 NA 0 "yes" 0 0.2 0 0 0
13 "Not escaped" "Malus" 1 10 0 5 NA 2 "no" 0 0.5 0 0.2 1
13 "Not escaped" "Malus" 2 10 3 9 2.2 5 "no" 0 0.9 0.3 0.5 1
13 "Not escaped" "Malus" 3 9 1 1 1.2 1 "no" 0 0.111111111111111 0.111111111111111 0.111111111111111 1
13 "Not escaped" "Malus" 4 10 2 9 1 2 "no" 0 0.9 0.2 0.2 1
13 "Not escaped" "Malus" 5 10 3 9 2.8 3 "no" 0 0.9 0.3 0.3 1
13 "Not escaped" "Malus" 6 10 0 7 NA 2 "no" 0 0.7 0 0.2 1
13 "Not escaped" "Malus" 7 10 1 5 2 1 "no" 0 0.5 0.1 0.1 1
13 "Not escaped" "Malus" 8 9 5 7 2.7 3 "no" 0 0.777777777777778 0.555555555555556 0.333333333333333 1
13 "Not escaped" "Malus" 9 10 0 13 NA 4 "no" 0 1.3 0 0.4 1
13 "Not escaped" "Malus" 10 10 3 7 2.5 0 "no" 0 0.7 0.3 0 0
13 "Not escaped" "Malus" 11 9 8 12 3.2 4 "no" 0 1.33333333333333 0.888888888888889 0.444444444444444 1
13 "Not escaped" "Malus" 12 10 0 12 NA 5 "no" 0 1.2 0 0.5 1
14 "Escaped" "Malus" 1 10 3 8 1.8 5 "no" 0 0.8 0.3 0.5 1
14 "Escaped" "Malus" 2 10 1 10 1.2 4 "no" 0 1 0.1 0.4 1
14 "Escaped" "Malus" 3 10 1 8 2.2 3 "no" 0 0.8 0.1 0.3 1
14 "Escaped" "Malus" 4 10 0 2 NA 1 "no" 0 0.2 0 0.1 1
14 "Escaped" "Malus" 5 10 0 6 NA 3 "no" 0 0.6 0 0.3 1
14 "Escaped" "Malus" 6 10 1 7 1.5 4 "no" 0 0.7 0.1 0.4 1
14 "Escaped" "Malus" 7 10 4 10 0.3 0 "no" 0 1 0.4 0 0
14 "Escaped" "Malus" 8 10 0 4 NA 4 "no" 0 0.4 0 0.4 1
14 "Escaped" "Malus" 9 10 0 5 NA 0 "no" 0 0.5 0 0 0
14 "Escaped" "Malus" 10 10 1 6 0.3 2 "no" 0 0.6 0.1 0.2 1
14 "Escaped" "Malus" 11 10 0 6 NA 2 "no" 0 0.6 0 0.2 1
14 "Escaped" "Malus" 12 10 0 11 NA 6 "no" 0 1.1 0 0.6 1
14 "Escaped" "Malus" 1 10 0 4 NA 0 "yes" 1 0.4 0 0 0
14 "Escaped" "Malus" 2 10 0 6 NA 0 "yes" 1 0.6 0 0 0
14 "Escaped" "Malus" 3 10 0 5 NA 0 "yes" 1 0.5 0 0 0
14 "Escaped" "Malus" 4 10 0 8 NA 2 "yes" 1 0.8 0 0.2 1
14 "Escaped" "Malus" 5 10 0 7 NA 2 "yes" 1 0.7 0 0.2 1
14 "Escaped" "Malus" 6 10 0 6 NA 0 "yes" 1 0.6 0 0 0
14 "Escaped" "Malus" 7 10 0 6 NA 0 "yes" 1 0.6 0 0 0
14 "Escaped" "Malus" 8 10 0 4 NA 0 "yes" 1 0.4 0 0 0
14 "Escaped" "Malus" 9 10 0 5 NA 0 "yes" 1 0.5 0 0 0
14 "Escaped" "Malus" 10 10 0 3 NA 1 "yes" 1 0.3 0 0.1 1
14 "Escaped" "Malus" 11 10 0 4 NA 0 "yes" 1 0.4 0 0 0
14 "Escaped" "Malus" 12 10 0 5 NA 1 "yes" 1 0.5 0 0.1 1
15 "Not escaped" "Malus" 1 9 0 9 NA 6 "no" 0 1 0 0.666666666666667 1
15 "Not escaped" "Malus" 2 10 0 3 NA 1 "no" 0 0.3 0 0.1 1
15 "Not escaped" "Malus" 3 10 0 8 NA 5 "no" 0 0.8 0 0.5 1
15 "Not escaped" "Malus" 4 10 1 20 1 8 "no" 0 2 0.1 0.8 1
15 "Not escaped" "Malus" 5 7 0 6 NA 3 "no" 0 0.857142857142857 0 0.428571428571429 1
15 "Not escaped" "Malus" 6 10 0 2 NA 0 "no" 0 0.2 0 0 0
15 "Not escaped" "Malus" 7 10 2 6 2.2 1 "no" 0 0.6 0.2 0.1 1
15 "Not escaped" "Malus" 8 10 0 1 NA 0 "no" 0 0.1 0 0 0
15 "Not escaped" "Malus" 9 10 2 9 3 4 "no" 0 0.9 0.2 0.4 1
15 "Not escaped" "Malus" 10 10 0 10 NA 6 "no" 0 1 0 0.6 1
15 "Not escaped" "Malus" 11 8 1 7 1.5 0 "no" 0 0.875 0.125 0 0
15 "Not escaped" "Malus" 12 10 0 11 NA 4 "no" 0 1.1 0 0.4 1
16 "Not escaped" "Malus" 1 10 1 1 1.2 0 "no" 0 0.1 0.1 0 0
16 "Not escaped" "Malus" 2 8 0 5 NA 3 "no" 0 0.625 0 0.375 1
16 "Not escaped" "Malus" 3 10 2 4 3 0 "no" 0 0.4 0.2 0 0
16 "Not escaped" "Malus" 4 10 1 3 1.5 1 "no" 0 0.3 0.1 0.1 1
16 "Not escaped" "Malus" 5 10 0 2 NA 1 "no" 0 0.2 0 0.1 1
16 "Not escaped" "Malus" 6 10 1 6 3.2 3 "no" 0 0.6 0.1 0.3 1
16 "Not escaped" "Malus" 7 10 0 9 NA 3 "no" 0 0.9 0 0.3 1
16 "Not escaped" "Malus" 8 10 0 4 NA 2 "no" 0 0.4 0 0.2 1
16 "Not escaped" "Malus" 9 10 0 13 NA 9 "no" 0 1.3 0 0.9 1
16 "Not escaped" "Malus" 10 9 1 1 0.9 0 "no" 0 0.111111111111111 0.111111111111111 0 0
16 "Not escaped" "Malus" 11 10 0 2 NA 0 "no" 0 0.2 0 0 0
16 "Not escaped" "Malus" 12 10 0 2 NA 2 "no" 0 0.2 0 0.2 1
17 "Escaped" "Malus" 1 10 2 22 1.5 3 "no" 0 2.2 0.2 0.3 1
17 "Escaped" "Malus" 2 10 1 5 1 3 "no" 0 0.5 0.1 0.3 1
17 "Escaped" "Malus" 3 10 3 12 1.7 2 "no" 0 1.2 0.3 0.2 1
17 "Escaped" "Malus" 4 10 1 12 1.2 5 "no" 0 1.2 0.1 0.5 1
17 "Escaped" "Malus" 5 10 0 5 NA 0 "no" 0 0.5 0 0 0
17 "Escaped" "Malus" 6 10 3 17 1.3 2 "no" 0 1.7 0.3 0.2 1
17 "Escaped" "Malus" 7 7 2 14 1 6 "no" 0 2 0.285714285714286 0.857142857142857 1
17 "Escaped" "Malus" 8 10 1 16 1.3 2 "no" 0 1.6 0.1 0.2 1
17 "Escaped" "Malus" 9 10 0 9 NA 4 "no" 0 0.9 0 0.4 1
17 "Escaped" "Malus" 10 10 1 8 1.1 1 "no" 0 0.8 0.1 0.1 1
17 "Escaped" "Malus" 11 10 0 11 NA 6 "no" 0 1.1 0 0.6 1
17 "Escaped" "Malus" 12 10 0 11 NA 5 "no" 0 1.1 0 0.5 1
17 "Escaped" "Malus" 1 10 0 2 NA 0 "yes" 0 0.2 0 0 0
17 "Escaped" "Malus" 2 10 0 6 NA 0 "yes" 0 0.6 0 0 0
17 "Escaped" "Malus" 3 10 0 6 NA 0 "yes" 0 0.6 0 0 0
17 "Escaped" "Malus" 4 10 0 7 NA 0 "yes" 0 0.7 0 0 0
17 "Escaped" "Malus" 5 10 0 5 NA 0 "yes" 0 0.5 0 0 0
