"N_Protocol" "Status" "Species" "Branch_N" "Length" "N_Thorns" "N_Twigs" "Longest_thorn" "N_browsed_Twigs" "Branch_esc" "BDI" "Thorn_density"
7 "Escaped" "Malus" 4 10 1 1 2.9 0 "no" 0.1 0.1
7 "Escaped" "Malus" 5 10 0 11 NA 2 "no" 1.1 0
7 "Escaped" "Malus" 6 10 0 6 NA 4 "no" 0.6 0
7 "Escaped" "Malus" 7 10 3 15 1.5 5 "no" 1.5 0.3
7 "Escaped" "Malus" 8 10 0 2 NA 1 "no" 0.2 0
7 "Escaped" "Malus" 9 8 2 4 3 3 "no" 0.5 0.25
7 "Escaped" "Malus" 10 10 0 1 NA 1 "no" 0.1 0
7 "Escaped" "Malus" 11 9 2 10 1.1 4 "no" 1.11111111111111 0.222222222222222
7 "Escaped" "Malus" 12 10 0 2 NA 1 "no" 0.2 0
7 "Escaped" "Malus" 1 10 4 6 3.5 1 "yes" 0.6 0.4
7 "Escaped" "Malus" 2 10 0 6 NA 1 "yes" 0.6 0
7 "Escaped" "Malus" 3 10 0 1 NA 0 "yes" 0.1 0
7 "Escaped" "Malus" 4 10 0 2 NA 1 "yes" 0.2 0
7 "Escaped" "Malus" 5 10 1 1 4 0 "yes" 0.1 0.1
7 "Escaped" "Malus" 6 10 0 5 NA 0 "yes" 0.5 0
7 "Escaped" "Malus" 7 10 0 1 NA 0 "yes" 0.1 0
7 "Escaped" "Malus" 8 10 0 1 NA 0 "yes" 0.1 0
7 "Escaped" "Malus" 9 10 0 1 NA 0 "yes" 0.1 0
7 "Escaped" "Malus" 10 10 5 7 5 1 "yes" 0.7 0.5
7 "Escaped" "Malus" 11 10 0 5 NA 1 "yes" 0.5 0
7 "Escaped" "Malus" 12 10 0 1 NA 0 "yes" 0.1 0
8 "Escaped" "Malus" 1 10 0 2 NA 2 "no" 0.2 0
8 "Escaped" "Malus" 2 8 0 5 NA 4 "no" 0.625 0
8 "Escaped" "Malus" 3 8 2 11 0.7 2 "no" 1.375 0.25
8 "Escaped" "Malus" 4 10 2 4 6 2 "no" 0.4 0.2
8 "Escaped" "Malus" 5 8 1 7 0.6 1 "no" 0.875 0.125
8 "Escaped" "Malus" 6 10 5 30 2.2 8 "no" 3 0.5
8 "Escaped" "Malus" 7 10 0 9 NA 2 "no" 0.9 0
8 "Escaped" "Malus" 8 10 0 1 NA 1 "no" 0.1 0
8 "Escaped" "Malus" 9 9 0 6 NA 4 "no" 0.666666666666667 0
8 "Escaped" "Malus" 10 10 1 8 2.2 3 "no" 0.8 0.1
8 "Escaped" "Malus" 11 7 1 5 4 1 "no" 0.714285714285714 0.142857142857143
8 "Escaped" "Malus" 12 10 3 15 3.1 7 "no" 1.5 0.3
8 "Escaped" "Malus" 1 10 0 1 NA 0 "yes" 0.1 0
8 "Escaped" "Malus" 2 10 0 1 NA 1 "yes" 0.1 0
8 "Escaped" "Malus" 3 10 0 2 NA 1 "yes" 0.2 0
8 "Escaped" "Malus" 4 10 0 1 NA 0 "yes" 0.1 0
8 "Escaped" "Malus" 5 10 0 1 NA 0 "yes" 0.1 0
8 "Escaped" "Malus" 6 10 0 1 NA 0 "yes" 0.1 0
8 "Escaped" "Malus" 7 10 0 6 NA 2 "yes" 0.6 0
8 "Escaped" "Malus" 8 10 0 1 NA 0 "yes" 0.1 0
8 "Escaped" "Malus" 9 10 3 9 2.1 0 "yes" 0.9 0.3
8 "Escaped" "Malus" 10 10 0 12 NA 2 "yes" 1.2 0
8 "Escaped" "Malus" 11 10 0 1 NA 0 "yes" 0.1 0
8 "Escaped" "Malus" 12 10 0 7 NA 1 "yes" 0.7 0
9 "Not escaped" "Malus" 1 10 4 22 2 9 "no" 2.2 0.4
9 "Not escaped" "Malus" 2 10 0 1 NA 0 "no" 0.1 0
9 "Not escaped" "Malus" 3 10 0 1 NA 1 "no" 0.1 0
9 "Not escaped" "Malus" 4 10 0 3 NA 1 "no" 0.3 0
9 "Not escaped" "Malus" 5 10 0 1 NA 1 "no" 0.1 0
9 "Not escaped" "Malus" 6 10 0 2 NA 2 "no" 0.2 0
9 "Not escaped" "Malus" 7 10 0 1 NA 0 "no" 0.1 0
9 "Not escaped" "Malus" 8 10 6 11 2.5 5 "no" 1.1 0.6
9 "Not escaped" "Malus" 9 10 2 1 2 0 "no" 0.1 0.2
9 "Not escaped" "Malus" 10 8 0 8 NA 4 "no" 1 0
9 "Not escaped" "Malus" 11 10 0 2 NA 1 "no" 0.2 0
9 "Not escaped" "Malus" 12 10 0 4 NA 1 "no" 0.4 0
10 "Not escaped" "Malus" 1 10 0 2 NA 1 "no" 0.2 0
10 "Not escaped" "Malus" 2 10 0 9 NA 2 "no" 0.9 0
10 "Not escaped" "Malus" 3 9 0 1 NA 0 "no" 0.111111111111111 0
10 "Not escaped" "Malus" 4 10 0 6 NA 1 "no" 0.6 0
10 "Not escaped" "Malus" 5 9 0 4 NA 0 "no" 0.444444444444444 0
10 "Not escaped" "Malus" 6 8 2 6 2 4 "no" 0.75 0.25
10 "Not escaped" "Malus" 7 9 0 3 NA 2 "no" 0.333333333333333 0
10 "Not escaped" "Malus" 8 8 0 7 NA 4 "no" 0.875 0
10 "Not escaped" "Malus" 9 10 1 4 1.9 2 "no" 0.4 0.1
10 "Not escaped" "Malus" 10 9 0 5 NA 4 "no" 0.555555555555556 0
10 "Not escaped" "Malus" 11 10 0 9 NA 4 "no" 0.9 0
10 "Not escaped" "Malus" 12 10 0 1 NA 0 "no" 0.1 0
11 "Not escaped" "Prunus" 1 10 1 11 2.5 1 "no" 1.1 0.1
11 "Not escaped" "Prunus" 2 10 4 5 3 0 "no" 0.5 0.4
11 "Not escaped" "Prunus" 3 10 3 7 3.4 3 "no" 0.7 0.3
11 "Not escaped" "Prunus" 4 8 4 7 2.2 1 "no" 0.875 0.5
11 "Not escaped" "Prunus" 5 10 1 3 5 1 "no" 0.3 0.1
11 "Not escaped" "Prunus" 6 10 1 5 2.6 1 "no" 0.5 0.1
11 "Not escaped" "Prunus" 7 10 3 5 4 0 "no" 0.5 0.3
11 "Not escaped" "Prunus" 8 10 4 4 2.5 1 "no" 0.4 0.4
11 "Not escaped" "Prunus" 9 10 1 3 1 0 "no" 0.3 0.1
11 "Not escaped" "Prunus" 10 10 0 1 NA 1 "no" 0.1 0
11 "Not escaped" "Prunus" 11 10 3 7 1.5 1 "no" 0.7 0.3
11 "Not escaped" "Prunus" 12 10 0 7 NA 2 "no" 0.7 0
12 "Escaped" "Malus" 1 10 0 10 NA 7 "no" 1 0
12 "Escaped" "Malus" 2 8 0 10 NA 4 "no" 1.25 0
12 "Escaped" "Malus" 3 10 1 9 1 5 "no" 0.9 0.1
12 "Escaped" "Malus" 4 10 1 10 1.5 2 "no" 1 0.1
12 "Escaped" "Malus" 5 10 0 1 NA 0 "no" 0.1 0
12 "Escaped" "Malus" 6 10 0 4 NA 1 "no" 0.4 0
12 "Escaped" "Malus" 7 10 0 3 NA 0 "no" 0.3 0
12 "Escaped" "Malus" 8 10 0 9 NA 6 "no" 0.9 0
12 "Escaped" "Malus" 9 10 1 4 2 3 "no" 0.4 0.1
12 "Escaped" "Malus" 10 9 0 7 NA 7 "no" 0.777777777777778 0
12 "Escaped" "Malus" 11 10 1 11 1.7 1 "no" 1.1 0.1
12 "Escaped" "Malus" 12 8 0 1 NA 1 "no" 0.125 0
12 "Escaped" "Malus" 1 10 0 1 NA 1 "yes" 0.1 0
12 "Escaped" "Malus" 2 10 0 7 NA 0 "yes" 0.7 0
12 "Escaped" "Malus" 3 9 0 1 NA 0 "yes" 0.111111111111111 0
12 "Escaped" "Malus" 4 10 0 5 NA 1 "yes" 0.5 0
12 "Escaped" "Malus" 5 10 0 4 NA 1 "yes" 0.4 0
12 "Escaped" "Malus" 6 10 0 1 NA 0 "yes" 0.1 0
12 "Escaped" "Malus" 7 10 0 1 NA 0 "yes" 0.1 0
12 "Escaped" "Malus" 8 10 0 3 NA 0 "yes" 0.3 0
12 "Escaped" "Malus" 9 NA NA NA NA NA "" NA NA
